,amount,context_ref,decimals,element_id,unit_ref
183,1518000,CurrentYearInstant_No9MajorShareholdersMember,-3,jpcrp_cor_numberofsharesheld,shares
184,0.0138,CurrentYearInstant_No9MajorShareholdersMember,4,jpcrp_cor_shareholdingratio,pure
185,1399000,CurrentYearInstant_No10MajorShareholdersMember,-3,jpcrp_cor_numberofsharesheld,shares
186,0.0128,CurrentYearInstant_No10MajorShareholdersMember,4,jpcrp_cor_shareholdingratio,pure
187,32749000,CurrentYearInstant,-3,jpcrp_cor_numberofsharesheld,shares
188,0.2996,CurrentYearInstant,4,jpcrp_cor_shareholdingratio,pure
189,3888000000,Prior1YearInstant,-6,jppfs_cor_cashanddeposits,JPY
190,3456000000,CurrentYearInstant,-6,jppfs_cor_cashanddeposits,JPY
191,22579000000,Prior1YearInstant,-6,jppfs_cor_notesandaccountsreceivabletrade,JPY
192,24393000000,CurrentYearInstant,-6,jppfs_cor_notesandaccountsreceivabletrade,JPY
193,825000000,Prior1YearInstant,-6,jppfs_cor_leaseinvestmentassetsca,JPY
194,715000000,CurrentYearInstant,-6,jppfs_cor_leaseinvestmentassetsca,JPY
195,27426000000,Prior1YearInstant,-6,jppfs_cor_merchandiseandfinishedgoods,JPY
196,25596000000,CurrentYearInstant,-6,jppfs_cor_merchandiseandfinishedgoods,JPY
197,1342000000,Prior1YearInstant,-6,jppfs_cor_workinprocess,JPY
198,1654000000,CurrentYearInstant,-6,jppfs_cor_workinprocess,JPY
199,3538000000,Prior1YearInstant,-6,jppfs_cor_rawmaterialsandsupplies,JPY
200,4093000000,CurrentYearInstant,-6,jppfs_cor_rawmaterialsandsupplies,JPY
201,587000000,Prior1YearInstant,-6,jppfs_cor_deferredtaxassetsca,JPY
202,600000000,CurrentYearInstant,-6,jppfs_cor_deferredtaxassetsca,JPY
203,2306000000,Prior1YearInstant,-6,jppfs_cor_otherca,JPY
204,2850000000,CurrentYearInstant,-6,jppfs_cor_otherca,JPY
205,-26000000,Prior1YearInstant,-6,jppfs_cor_allowancefordoubtfulaccountsca,JPY
206,-326000000,CurrentYearInstant,-6,jppfs_cor_allowancefordoubtfulaccountsca,JPY
207,62467000000,Prior1YearInstant,-6,jppfs_cor_currentassets,JPY
208,63033000000,CurrentYearInstant,-6,jppfs_cor_currentassets,JPY
209,3450000000,Prior1YearInstant,-6,jppfs_cor_buildingsandstructuresnet,JPY
210,3241000000,CurrentYearInstant,-6,jppfs_cor_buildingsandstructuresnet,JPY
